SAMPLE ,LOCATION,TYPE,DEPTH,IRON (ppm),MERCURY (ppm),TOTAL CHLORINE (ppm),NITRITE (ppm),NITRATE (ppm),pH (ppm),TOTAL ALKALINITY (ppm),HARDNESS (ppm),ALUMINUM (ppm),SULFATE (ppm),ZINC (ppm),FREE CHHLORINE (ppm),TDS (ppm)
SAMPLE 1,LOC 1,Open Water,Surface,0.3,0,0,0,0,7.5,180,425,0,200,2,5,119
SAMPLE 2,LOC 1,Open water,Deep,0,0,0,0,0,7,120,425,10,400,2,1,121
SAMPLE 3,LOC 2,Open Water,Surface,0,0,1,1,10,7.5,180,100,0,200,0,5,118
SAMPLE 4,LOC 2,Open Water,Deep,0,0,0,0,0,7,120,250,10,400,2,5,133
SAMPLE 5,LOC 3,Open Water,Surface,0.3,0,1,1,10,6.5,80,250,5,400,5,5,121
SAMPLE 6,LOC 3,Open Water,Deep,0,0,0,1,10,7,120,100,5,400,2,1,117
SAMPLE 7,LOC 4,Open Water,Surface,0.3,0,0,0,0,6.5,120,425,10,400,2,1,136
SAMPLE 8,LOC 4,Open Water,Deep,0.3,0.002,0,0,0,6,80,425,25,800,2,0.5,154
SAMPLE 9,LOC 5,Open Water,Surface,0,0,1,0,0,7.5,180,100,0,400,2,0.5,123
SAMPLE 10,LOC 5,Open Water,Deep,0,0,0,1,10,7,120,250,5,400,2,3,134
SAMPLE 11,LOC 1,Shoreline,Surface,0.3,0,0,0,10,7.5,180,250,10,400,5,1,135
SAMPLE 12,LOC 1,Shoreline,Deep,0.3,0.002,0,5,0,6.5,180,1000,10,400,2,0.5,142
SAMPLE 13,LOC 2,Shoreline,Surface,0.3,0,3,5,25,7,180,250,25,0,2,1,115
SAMPLE 14,LOC 2,Shoreline,Deep,0,0,3,5,25,7,180,100,10,400,2,5,114
SAMPLE 15,LOC 3,Shoreline,Surface,0,0,0,0,0,7,120,100,25,200,2,5,113
SAMPLE 16,LOC 3,Shoreline,Deep,0,0,0,0,0,6.5,120,250,5,400,2,1,116
SAMPLE 17,LOC 4,Shoreline,Surface,0,0.002,0,0,0,6,80,250,10,800,2,0.5,143
SAMPLE 18,LOC 4,Shoreline,Deep,0.3,0.002,0,0,0,6,80,425,25,800,2,0.5,151
SAMPLE 19,LOC 5,Shoreline,Surface,0,0.002,1,1,0,7,120,100,5,200,2,1,115
SAMPLE 20,LOC 5,Shoreline,Deep,0.3,0.002,0,0,0,6.5,120,250,10,200,2,0.5,121